name,price,link,store
"Apple iPhone 15 Pro 128GB Titânio Natural 6,1"" 48MP iOS 5G",R$ 7.829.10,https://www.magazineluiza.com.br/apple-iphone-15-pro-128gb-titanio-natural-61-48mp-ios-5g/p/237920300/te/15pr/,Magazine Luiza
"Apple iPhone 15 Pro 128GB Titânio Branco 6,1"" 48MP iOS 5G",R$ 7.829.10,https://www.magazineluiza.com.br/apple-iphone-15-pro-128gb-titanio-branco-61-48mp-ios-5g/p/237921600/te/15pr/,Magazine Luiza
"Apple iPhone 15 Pro Max 256GB Titânio Preto 6,7"" 48MP iOS 5G",R$ 8.999.10,https://www.magazineluiza.com.br/apple-iphone-15-pro-max-256gb-titanio-preto-67-48mp-ios-5g/p/237922200/te/15pm/,Magazine Luiza
"Apple iPhone 15 Pro 256GB Titânio Natural 6,1"" 48MP iOS 5G",R$ 8.549.10,https://www.magazineluiza.com.br/apple-iphone-15-pro-256gb-titanio-natural-61-48mp-ios-5g/p/237922800/te/15pr/,Magazine Luiza
"Apple iPhone 15 Pro Max 256GB Titânio Natural 6,7"" 48MP iOS 5G",R$ 8.999.10,https://www.magazineluiza.com.br/apple-iphone-15-pro-max-256gb-titanio-natural-67-48mp-ios-5g/p/237922600/te/15pm/,Magazine Luiza
"Apple iPhone 15 Pro 256GB Titânio Preto 6,1"" 48MP iOS 5G",R$ 8.549.10,https://www.magazineluiza.com.br/apple-iphone-15-pro-256gb-titanio-preto-61-48mp-ios-5g/p/237922700/te/15pr/,Magazine Luiza
"Apple iPhone 15 Pro 256GB Titânio Azul 6,1"" 48MP iOS 5G",R$ 8.549.10,https://www.magazineluiza.com.br/apple-iphone-15-pro-256gb-titanio-azul-61-48mp-ios-5g/p/237923600/te/15pr/,Magazine Luiza
"Apple iPhone 15 Pro Max 256GB Titânio Azul 6,7"" 48MP iOS 5G",R$ 8.999.10,https://www.magazineluiza.com.br/apple-iphone-15-pro-max-256gb-titanio-azul-67-48mp-ios-5g/p/237921400/te/15pm/,Magazine Luiza
"Apple iPhone 15 Pro Max 512GB Titânio Preto 6,7"" 48MP iOS 5G",R$ 10.349.10,https://www.magazineluiza.com.br/apple-iphone-15-pro-max-512gb-titanio-preto-67-48mp-ios-5g/p/237925900/te/15pm/,Magazine Luiza
"Apple iPhone 15 Pro Max 512GB Titânio Branco 6,7"" 48MP iOS 5G",R$ 10.349.10,https://www.magazineluiza.com.br/apple-iphone-15-pro-max-512gb-titanio-branco-67-48mp-ios-5g/p/237926200/te/15pm/,Magazine Luiza
"Apple iPhone 15 Pro Max 512GB Titânio Natural 6,7"" 48MP iOS 5G",R$ 10.349.10,https://www.magazineluiza.com.br/apple-iphone-15-pro-max-512gb-titanio-natural-67-48mp-ios-5g/p/237926800/te/15pm/,Magazine Luiza
"Apple iPhone 15 Pro Max 512GB Titânio Azul 6,7"" 48MP iOS 5G",R$ 10.349.10,https://www.magazineluiza.com.br/apple-iphone-15-pro-max-512gb-titanio-azul-67-48mp-ios-5g/p/237926100/te/15pm/,Magazine Luiza
"Apple iPhone 15 128GB Verde 6,1"" 48MP iOS 5G",R$ 5.129.10,https://www.magazineluiza.com.br/apple-iphone-15-128gb-verde-61-48mp-ios-5g/p/238035300/te/ip15/,Magazine Luiza
"Apple iPhone 15 512GB Rosa 6,1"" 48MP iOS 5G",R$ 6.749.10,https://www.magazineluiza.com.br/apple-iphone-15-512gb-rosa-61-48mp-ios-5g/p/238035400/te/ip15/,Magazine Luiza
"Apple iPhone 15 Plus 128GB Azul 6,7"" 48MP iOS 5G",R$ 6.799.00,https://www.magazineluiza.com.br/apple-iphone-15-plus-128gb-azul-67-48mp-ios-5g/p/237922000/te/i15p/,Magazine Luiza
"Apple iPhone 15 Plus 128GB Preto 6,7"" 48MP iOS 5G",R$ 6.799.00,https://www.magazineluiza.com.br/apple-iphone-15-plus-128gb-preto-67-48mp-ios-5g/p/237924900/te/i15p/,Magazine Luiza
"Apple iPhone 15 Plus 256GB Azul 6,7"" 48MP iOS 5G",R$ 8.189.10,https://www.magazineluiza.com.br/apple-iphone-15-plus-256gb-azul-67-48mp-ios-5g/p/237922500/te/i15p/,Magazine Luiza
"Apple iPhone 15 Plus 128GB Verde 6,7"" 48MP iOS 5G",R$ 6.799.00,https://www.magazineluiza.com.br/apple-iphone-15-plus-128gb-verde-67-48mp-ios-5g/p/237924000/te/i15p/,Magazine Luiza
"Apple iPhone 15 Pro 512GB Titânio Branco 6,1"" 48MP iOS 5G",R$ 9.899.10,https://www.magazineluiza.com.br/apple-iphone-15-pro-512gb-titanio-branco-61-48mp-ios-5g/p/237924200/te/15pr/,Magazine Luiza
"Apple iPhone 15 Plus 128GB Amarelo 6,7"" 48MP iOS 5G",R$ 6.799.00,https://www.magazineluiza.com.br/apple-iphone-15-plus-128gb-amarelo-67-48mp-ios-5g/p/237921200/te/i15p/,Magazine Luiza
"Apple iPhone 15 512GB Amarelo 6,1"" 48MP iOS 5G",R$ 6.749.10,https://www.magazineluiza.com.br/apple-iphone-15-512gb-amarelo-61-48mp-ios-5g/p/238035000/te/ip15/,Magazine Luiza
"Apple iPhone 15 512GB Verde 6,1"" 48MP iOS 5G",R$ 6.749.10,https://www.magazineluiza.com.br/apple-iphone-15-512gb-verde-61-48mp-ios-5g/p/238034600/te/ip15/,Magazine Luiza
"Apple iPhone 15 Plus 256GB Preto 6,7"" 48MP iOS 5G",R$ 7.599.00,https://www.magazineluiza.com.br/apple-iphone-15-plus-256gb-preto-67-48mp-ios-5g/p/237920200/te/i15p/,Magazine Luiza
"Apple iPhone 15 Plus 256GB Verde 6,7"" 48MP iOS 5G",R$ 7.599.00,https://www.magazineluiza.com.br/apple-iphone-15-plus-256gb-verde-67-48mp-ios-5g/p/237920400/te/i15p/,Magazine Luiza
"Apple iPhone 15 Plus 512GB Preto 6,7"" 48MP iOS 5G",R$ 9.539.10,https://www.magazineluiza.com.br/apple-iphone-15-plus-512gb-preto-67-48mp-ios-5g/p/237923300/te/i15p/,Magazine Luiza
"iPhone 15 Apple (256GB) Azul, Tela de 6,1"", 5G e Câmera de 48 MP",R$ 6.605.00,https://www.magazineluiza.com.br/iphone-15-apple-256gb-azul-tela-de-61-5g-e-camera-de-48-mp/p/cjhdfedg7h/te/teip/,Magazine Luiza
"iPhone 15 Apple (128GB) Preto, Tela de 6,1"", 5G e Câmera de 48 MP",R$ 5.906.00,https://www.magazineluiza.com.br/iphone-15-apple-128gb-preto-tela-de-61-5g-e-camera-de-48-mp/p/ckj21d0f28/te/teip/,Magazine Luiza
Apple iPhone 15 Pro Max de 512GB - Titânio Azul,R$ 12.878.76,https://www.magazineluiza.com.br/apple-iphone-15-pro-max-de-512gb-titanio-azul/p/fk6544222f/te/15pm/,Magazine Luiza
Apple iPhone 15 de 512GB - Preto,R$ 8.398.76,https://www.magazineluiza.com.br/apple-iphone-15-de-512gb-preto/p/ek961h77af/te/ip15/,Magazine Luiza
"iPhone 15 Pro Max Apple (512GB) Titânio Azul, Tela de 6,7"", 5G e Câmera de 48MP",R$ 11.854.00,https://www.magazineluiza.com.br/iphone-15-pro-max-apple-512gb-titanio-azul-tela-de-67-5g-e-camera-de-48mp/p/je741f1e59/te/teip/,Magazine Luiza
Apple iPhone 15 Pro Max de 256GB - Titânio Azul,R$ 11.198.76,https://www.magazineluiza.com.br/apple-iphone-15-pro-max-de-256gb-titanio-azul/p/bh977c4b81/te/15pm/,Magazine Luiza
Apple iPhone 15 Plus de 256GB - Preto,R$ 8.585.43,https://www.magazineluiza.com.br/apple-iphone-15-plus-de-256gb-preto/p/ha7k0ckkg9/te/i15p/,Magazine Luiza
"iPhone 15 Pro Max Apple (256GB) Titânio Azul, Tela de 6,7"", 5G e Câmera de 48MP",R$ 10.430.00,https://www.magazineluiza.com.br/iphone-15-pro-max-apple-256gb-titanio-azul-tela-de-67-5g-e-camera-de-48mp/p/bg442jbf9b/te/15pm/,Magazine Luiza
Apple iPhone 15 Plus de 256GB - Verde,R$ 8.585.43,https://www.magazineluiza.com.br/apple-iphone-15-plus-de-256gb-verde/p/afh625e556/te/i15p/,Magazine Luiza
Apple iPhone 15 Pro Max de 256GB - Titânio Natural,R$ 11.198.76,https://www.magazineluiza.com.br/apple-iphone-15-pro-max-de-256gb-titanio-natural/p/kgg68e04d3/te/15pm/,Magazine Luiza
Apple iPhone 15 Pro de 256GB - Titânio azul,R$ 10.638.76,https://www.magazineluiza.com.br/apple-iphone-15-pro-de-256gb-titanio-azul/p/hj23790g0h/te/15pr/,Magazine Luiza
Apple iPhone 15 Plus de 256GB - Amarelo,R$ 8.585.43,https://www.magazineluiza.com.br/apple-iphone-15-plus-de-256gb-amarelo/p/dh671hh2cj/te/i15p/,Magazine Luiza
Apple iPhone 15 Pro de 256GB - Titânio preto,R$ 10.638.76,https://www.magazineluiza.com.br/apple-iphone-15-pro-de-256gb-titanio-preto/p/fh59d3a32j/te/15pr/,Magazine Luiza
Smartphone Apple iPhone 13 Pro 512GB 5G 6.1 Super Retina XDR OLED Câmera Tripla 12MP Selfie 12MP IOS 15,R$ 12.120.03,https://www.magazineluiza.com.br/smartphone-apple-iphone-13-pro-512gb-5g-6-1-super-retina-xdr-oled-camera-tripla-12mp-selfie-12mp-ios-15/p/djhg6036dc/te/i13p/,Magazine Luiza
"iPhone 15 Pro Apple (128GB) Titânio Natural, Tela de 6,1"", 5G e Câmera de 48MP",R$ 9.068.25,https://www.magazineluiza.com.br/iphone-15-pro-apple-128gb-titanio-natural-tela-de-61-5g-e-camera-de-48mp/p/ek16dk03gd/te/teip/,Magazine Luiza
Apple iPhone 15 Pro de 128GB - Titânio preto,R$ 9.742.76,https://www.magazineluiza.com.br/apple-iphone-15-pro-de-128gb-titanio-preto/p/ck0cgea8k4/te/15pr/,Magazine Luiza
"iPhone 15 Pro Max Apple (256GB) Titânio Preto, Tela de 6,7"", 5G e Câmera de 48MP",R$ 10.430.00,https://www.magazineluiza.com.br/iphone-15-pro-max-apple-256gb-titanio-preto-tela-de-67-5g-e-camera-de-48mp/p/gaj7859kh3/te/teip/,Magazine Luiza
iPhone 12 64GB 5G 6.1 Super Retina XDR OLED Câmera Dupla 12MP Selfie 12MP IOS 15 Apple,R$ 4.040.01,https://www.magazineluiza.com.br/iphone-12-64gb-5g-6-1-super-retina-xdr-oled-camera-dupla-12mp-selfie-12mp-ios-15-apple/p/ka436cfhd0/te/ip12/,Magazine Luiza
"iPhone 15 Pro Apple (256GB) Titânio Azul, Tela de 6,1"", 5G e Câmera de 48MP",R$ 9.902.21,https://www.magazineluiza.com.br/iphone-15-pro-apple-256gb-titanio-azul-tela-de-61-5g-e-camera-de-48mp/p/hdj239aca2/te/teip/,Magazine Luiza
iPhone 13 256GB 5G 6.1 Super Retina XDR OLED Câmera Dupla 12MP Selfie 12MP IOS 15 Apple,R$ 7.069.95,https://www.magazineluiza.com.br/iphone-13-256gb-5g-6-1-super-retina-xdr-oled-camera-dupla-12mp-selfie-12mp-ios-15-apple/p/kg28943ga1/te/ip13/,Magazine Luiza
iPhone 12 256GB 5G 6.1 Super Retina XDR OLED Câmera Dupla iOS 15 Apple,R$ 5.049.99,https://www.magazineluiza.com.br/iphone-12-256gb-5g-6-1-super-retina-xdr-oled-camera-dupla-ios-15-apple/p/fb01gdeb59/te/ip12/,Magazine Luiza
"iPhone 15 Pro Max Apple (256GB) Titânio Natural, Tela de 6,7"", 5G e Câmera de 48MP",R$ 10.430.00,https://www.magazineluiza.com.br/iphone-15-pro-max-apple-256gb-titanio-natural-tela-de-67-5g-e-camera-de-48mp/p/jf3d7f9cj8/te/teip/,Magazine Luiza
"Apple iPhone 15 Pro 512GB Titânio Azul 6,1"" 48MP iOS 5G",R$ 9.899.10,https://www.magazineluiza.com.br/apple-iphone-15-pro-512gb-titanio-azul-61-48mp-ios-5g/p/237923700/te/15pr/,Magazine Luiza
iPhone 13 256GB 5G 6.1 Super Retina XDR OLED Câmera Dupla 12MP Selfie 12MP IOS 15 Apple,R$ 7.069.95,https://www.magazineluiza.com.br/iphone-13-256gb-5g-6-1-super-retina-xdr-oled-camera-dupla-12mp-selfie-12mp-ios-15-apple/p/kg28943ga1/te/ip13/,Magazine Luiza
"iPhone 15 Pro Apple (512GB) Titânio Natural, Tela de 6,1"", 5G e Câmera de 48MP",R$ 11.633.30,https://www.magazineluiza.com.br/iphone-15-pro-apple-512gb-titanio-natural-tela-de-61-5g-e-camera-de-48mp/p/dh5f813039/te/teip/,Magazine Luiza
"iPhone 15 Pro Max Apple (256GB) Titânio Branco, Tela de 6,7"", 5G e Câmera de 48MP",R$ 10.430.00,https://www.magazineluiza.com.br/iphone-15-pro-max-apple-256gb-titanio-branco-tela-de-67-5g-e-camera-de-48mp/p/hf0f789ck0/te/teip/,Magazine Luiza
"iPhone 15 Pro Max Apple (512GB) Titânio Branco, Tela de 6,7"", 5G e Câmera de 48MP",R$ 11.852.00,https://www.magazineluiza.com.br/iphone-15-pro-max-apple-512gb-titanio-branco-tela-de-67-5g-e-camera-de-48mp/p/fa1ade7fg3/te/teip/,Magazine Luiza
"Capa com MagSafe para iPhone 15, Apple, Silicone, Azul-inverno",R$ 716.05,https://www.magazineluiza.com.br/capa-com-magsafe-para-iphone-15-apple-silicone-azul-inverno/p/eccjc8c9ce/te/acce/,Magazine Luiza
Película Hidrogel Frente HD Anti-Impacto Apple iPhone 15,R$ 24.90,https://www.magazineluiza.com.br/pelicula-hidrogel-frente-hd-anti-impacto-apple-iphone-15-celcut/p/je15b3cf69/te/ppce/,Magazine Luiza
Película Hidrogel Frente Fosca HD Anti-Impacto Apple iPhone 15,R$ 27.90,https://www.magazineluiza.com.br/pelicula-hidrogel-frente-fosca-hd-anti-impacto-apple-iphone-15-celcut/p/kgk162g5ba/te/ppce/,Magazine Luiza
"Capa com MagSafe para iPhone 15 Pro, Apple, Transparente",R$ 716.05,https://www.magazineluiza.com.br/capa-com-magsafe-para-iphone-15-pro-apple-transparente/p/kbe1ka3803/te/acce/,Magazine Luiza
